noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
all,1000,10,3,0.001,0.3,0constpf,0.303734660148621,0.909090936183929,0.307091325521469,0.909090936183929,1.00362514891963,228.026603246784,237.529214933548,227.123399690803,64.2981790345175,58.8009154067642,66.4450775735486,0.0526524550597616,0.0472305476088122,0.0113936186632835,0.00889261632569395,301,3,15.339739319376,-578.649564562604,1507.29734412995,-563.926298725657
all,1000,10,3,0.001,0.3,1linpf,0.304376900196075,0.909090936183929,0.306046009063721,0.909090936183929,0.983986112261153,241.846247256424,232.897323360645,241.714569756583,77.9036231178344,71.6141658388817,80.0341705674641,0.0205172725160261,0.0263476757293267,0.019848283362302,0.0142469648677842,301,5,2.97702160094559,-629.499740748518,1504.75013696948,-604.960964353607
all,1000,10,3,0.001,0.3,2quadpf,0.303436696529388,0.909090936183929,0.306096643209457,0.909090936183929,0.970373293000556,254.143988108513,252.675632264072,259.903543258303,53.4943388837048,48.0347254834981,56.5107105410397,0.0481167752162943,0.05042215118919,0.0326651200804424,0.0306597533712453,301,4,8.57928450485974,-607.276653984435,1505.44464459441,-587.645632868506
all,1000,10,3,0.001,0.3,3cubpf,0.303155958652496,0.909090936183929,0.305345177650452,0.909090936183929,1.01937244023435,197.13334612289,222.508266183104,197.75191906342,60.0880309044837,62.5423729543351,60.801157941199,0.0627169099549864,0.0576530592443754,0.0276774669868093,0.0244840533362663,301,5,41.8987217251213,-504.442754054747,1543.67183709366,-479.903977659836
all,1000,10,5,0.001,0.3,0constpf,0.301387161016464,0.909090936183929,0.308990687131882,0.909090936183929,0.982736501533842,451.011620547415,471.749803260981,447.584024420945,80.7499922591255,68.671708037729,77.5320173482881,0.0913118899874382,0.117564752179721,0.0316656425219681,0.0447790822114189,341,11,-376.843022597419,-1041.52322561308,1350.68683560429,-987.537917544277
all,1000,10,5,0.001,0.3,1linpf,0.298095315694809,0.909090936183929,0.310020238161087,0.909090936183929,1.00453026859893,441.457577341336,508.308850927666,459.877268622517,91.9993081583096,82.0628744084097,103.763457042051,0.19418941930592,0.179646916342657,0.12406511998522,0.123340149188971,341,15,-468.743450672151,-1036.91377099929,1278.41742864549,-963.297441814558
all,1000,10,5,0.001,0.3,2quadpf,0.299769580364227,0.909090936183929,0.313497245311737,0.909090936183929,0.972039782033213,562.400774153663,579.474987112056,605.399254929245,160.11636176415,135.421239087553,167.503916531513,0.23340674685468,0.427576843236318,0.142836685404221,0.138398123725413,341,13,-721.792452399217,-1419.03427183563,1015.55291636046,-1355.23345320886
all,1000,10,5,0.001,0.3,3cubpf,0.299487382173538,0.909090936183929,0.308173567056656,0.909090936183929,1.083332479744,544.930190864329,617.509384118619,593.438502832613,119.949217777773,116.050046467601,133.544935595672,0.238761949299129,0.329360302469083,0.188515775813126,0.221064513146866,341,14,-757.118861172439,-1301.7588172842,985.13426286622,-1233.05024337845
all,1000,10,3,0.001,0.6,0constpf,0.303526937961578,0.909090936183929,0.305150747299194,0.909090936183929,0.988993303151304,296.366722299494,297.614345911954,297.878350039596,76.7145538612037,73.1170436847977,72.7380091119926,0.0416598775167694,0.0355755467659616,0.0331244918203176,0.0294241356254062,301,5,-129.462779193504,-736.162552321395,1372.31033617503,-711.623775926484
all,1000,10,3,0.001,0.6,1linpf,0.302136719226837,0.909090936183929,0.306940287351608,0.909090936183929,0.985902902532354,350.957715531641,366.668253908983,354.696803474638,90.4986525149474,82.2675363815101,88.1588259277656,0.0662385722955489,0.0984258753672992,0.0494419017770577,0.0665894677284793,301,59.750506941293,-176.370566698401,-763.411722210592,1594.10463813821,-470.170856347602
all,1000,10,3,0.001,0.6,2quadpf,0.299702107906342,0.909090936183929,0.303923219442368,0.909090936183929,1.02455787244164,336.244444895293,386.046032586181,393.538655642992,97.8388272657116,102.930731471286,111.544123735058,0.0980271583444207,0.115497019637173,0.112420908266998,0.126461486109978,301,3,-369.953528114934,-862.16654432201,1122.00407669564,-847.443278485063
all,1000,10,3,0.001,0.6,3cubpf,0.303343802690506,0.909090936183929,0.305096864700317,0.909090936183929,0.995370983376421,403.044075513678,399.84638471879,393.528417468642,82.9886772594776,77.8880873110761,83.7640032603097,0.0733625079662854,0.133079709948374,0.0851823840685666,0.116388467084155,301,61.0764345922983,-231.316074875136,-849.912636361714,1545.66645839025,-550.164442069955
all,1000,10,5,0.001,0.6,0constpf,0.300407201051712,0.909090936183929,0.310232251882553,0.909090936183929,0.990279108347845,751.808899256488,795.001049422103,755.654940624522,181.520362992674,168.524897041007,182.065054478016,0.163161407451411,0.240252497575189,0.0683795616393567,0.094243335721127,341,10,-1225.05189292622,-1846.65852449832,497.57020999651,-1797.5809717085
all,1000,10,5,0.001,0.6,1linpf,0.299223273992538,0.909090936183929,0.30309921503067,0.909090936183929,0.946925287086443,972.691825353877,1024.28680433209,1144.93967886431,300.797523827554,302.5617492335,356.828569276644,0.517144704753114,0.70528880632248,0.56451688860071,0.663114624742207,341,66.953862135209,-1837.78938286076,-2413.07097409244,164.34833761446,-2084.47780375013
all,1000,10,5,0.001,0.6,2quadpf,0.29253625869751,0.909090936183929,0.300422191619873,0.909090936183929,0.951171706426885,1353.4975905451,1458.47591375635,1780.16249888777,339.821934303339,345.858316901515,445.715624706409,0.824185182935123,1.02857693193617,1.01407914313566,1.07878573425749,341,63.0564680671019,-2800.55552518152,-3260.52611356267,-817.545261018328,-2951.06039953238
all,1000,10,5,0.001,0.6,3cubpf,0.289892792701721,0.909204542636871,0.306139707565308,0.909090936183929,0.980818982358747,1158.85481923436,1296.21380095296,1482.85306079247,295.356647164689,289.518780483365,385.507140535012,0.857745277437516,1.04879912848913,0.869457529962201,1.0034145050122,341,111.542011794044,-2266.38113928456,-2685.33890921001,-45.4156919411403,-2137.9180119995
all,1000,10,3,0.001,0.9,0constpf,0.303146362304688,0.909090936183929,0.304831862449646,0.909090936183929,0.977283949505956,368.063348802762,367.862578831925,376.819631078821,91.2225377575049,86.8078018864426,95.2924505946588,0.0633378426738241,0.0971612694001981,0.0359454459766169,0.0472254031618863,301,3,-301.340761436735,-912.571773120533,1190.61684337383,-897.848507283587
all,1000,10,3,0.001,0.9,1linpf,0.304115355014801,0.909090936183929,0.305055886507034,0.909090936183929,0.990976940445679,624.389966711696,624.90295807051,710.695305735839,147.711383215721,146.019595776628,165.73999497255,0.185022908029434,0.348420643710603,0.192815997718331,0.349286852477367,301,57.8173893155802,-824.210329063115,-1428.56792122367,936.777607541012,-1144.81432359317
all,1000,10,3,0.001,0.9,2quadpf,0.302885115146637,0.909090936183929,0.304123044013977,0.909090936183929,0.985716033211975,678.865707060681,664.640251110955,778.176044222399,182.781121652499,176.927027308613,200.944709177972,0.275096041749666,0.188443383658715,0.286430252524922,0.187337042100649,301,96.7373268201998,-887.659903198737,-1529.81900378596,1064.33756215134,-1055.05587740951
all,1000,10,3,0.001,0.9,3cubpf,0.302016705274582,0.909090936183929,0.304125338792801,0.909090936183929,0.982851673215697,642.873718209702,658.959973928944,750.08330389217,130.170314556236,129.218638944992,152.332145159449,0.249022717095086,0.434595691030311,0.24204270504782,0.394630435663071,301,58.9785360648473,-856.400153618178,-1428.13099340218,910.286407074338,-1138.67877168329
all,1000,10,5,0.001,0.9,0constpf,0.299948126077652,0.909090936183929,0.309537887573242,0.909090936183929,0.992261316092294,1489.5451785432101,1512.80783635443,1574.08798543087,353.935530329264,337.3777684639,370.722450337544,0.192856264706052,0.234737475897665,0.219263234455878,0.21213189068984,341,12,-2994.37120963667,-3662.96141774495,-1261.93359615598,-3604.06835439717
all,1000,10,5,0.001,0.9,1linpf,0.289323717355728,0.909204542636871,0.297577738761902,0.908636391162872,1.05437310344149,2698.77660774512,2831.19343963088,3555.01837489763,647.594264552746,665.75956710999,856.110714422988,3.78166918251545,3.93030351331933,3.90727052609204,4.01112720399857,341,386.78854794118,-5538.32891759937,-5919.16464871338,-1966.5208294583001,-4020.90111070522
all,1000,10,5,0.001,0.9,2quadpf,0.267707616090775,0.909090936183929,0.278796315193176,0.909090936183929,0.970304298138461,2471.31440611043,2806.22837801631,4613.22042340162,677.147206356932,733.819852385227,1258.17942300749,18.3028658931765,11.404508275013,20.7200196218729,13.3740343483691,341,273.914171683919,-5850.26811743524,-5749.09488156688,-2832.41984523255,-4404.79115949711
all,1000,10,5,0.001,0.9,3cubpf,0.27817091345787,0.909090936183929,0.275172770023346,0.909090936183929,0.91769814374279,2133.16768221731,2380.07144401146,3894.02110118356,521.187137874944,588.697582319853,988.204140788667,7.43971251936408,7.26962431061741,8.9181007639032,8.98887548038439,341,206.987035764491,-4841.56398113364,-4894.73556865553,-2152.17771354669,-3878.89385120148
