noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
parametric,10000,4,3,0.001,0.3,0constpf,0.499550819396973,0.800000011920929,0.5005042552948,0.800000011920929,1.00052221615666,2229.93509177029,2297.70252873499,2257.02022367399,501.939562673862,503.491451984985,506.182907521102,0.00870448755073804,0.00940814004346313,0.00638254627030566,0.00634080622778115,301,3,-4994.38796143996,-5457.7493088883,-2802.4444883592,-5436.11828777237
parametric,10000,4,3,0.001,0.3,1linpf,0.499342530965805,0.800000011920929,0.501355051994324,0.800000011920929,0.993602373924547,2297.89321539788,2339.17038240362,2350.97655690452,532.532458911465,522.412857732152,531.309346031886,0.0117715674848614,0.0124774733941199,0.0131877277342425,0.0157812611791955,301,5,-5111.16648027153,-5650.85134861869,-2904.80232644682,-5614.79964675881
parametric,10000,4,3,0.001,0.3,2quadpf,0.498892486095428,0.800000011920929,0.499084711074829,0.800000011920929,0.995562832115202,2373.23837803847,2413.26928523566,2440.74689152182,573.984027599035,581.100027308451,596.481163678364,0.0171120127210149,0.0149305695961707,0.023139891500616,0.0222082672634909,301,5,-5376.73862508823,-5884.44481127501,-3170.37447126352,-5848.39310941513
parametric,10000,4,3,0.001,0.3,3cubpf,0.499510735273361,0.800000011920929,0.500542998313904,0.800000011920929,1.0077563970067,2371.65430149244,2316.3713134641,2422.90836182486,534.642012537356,510.225664090797,550.956955360802,0.0126201953103559,0.0128980269844078,0.0151881260238593,0.0142164106490524,301,5,-5041.1939551098,-5802.59262805958,-2834.82980128509,-5766.5409261997
parametric,10000,4,5,0.001,0.3,0constpf,0.499266356229782,0.799899995326996,0.501896679401398,0.799799978733063,0.991589204963333,4275.15633551312,4311.13680722686,4324.90069833738,1011.44481826413,995.652155177528,1025.98609402968,0.0313141260669573,0.0335894256448564,0.0158159455078206,0.0166986562560533,341,11,-9909.57792480877,-10551.2023075545,-7371.53811387315,-10471.8885634628
parametric,10000,4,5,0.001,0.3,1linpf,0.493001908063889,0.800050020217896,0.496446818113327,0.80019998550415,0.98405904254906,4304.82942638437,4694.63735382735,4712.57678767842,1144.52330403878,1199.68874687392,1225.90869717298,0.0658465625890484,0.07009842750367,0.104903284364991,0.106586631917057,341,17,-11072.6522014025,-10864.7054608463,-8491.35034823507,-10742.1296745227
parametric,10000,4,5,0.001,0.3,2quadpf,0.492274403572083,0.800125002861023,0.498145550489426,0.799799978733063,1.01619705653246,5873.8043984051,6331.33473143075,6446.55037463657,1454.52446132348,1510.09404844573,1585.26764015854,0.113834285919968,0.109476418487926,0.141582781503768,0.141052013220272,341,15,-14970.857559753,-14626.6577194572,-12403.9763873294,-14518.5026138775
parametric,10000,4,5,0.001,0.3,3cubpf,0.490151941776276,0.799974977970123,0.494701087474823,0.80019998550415,0.990508739818873,4870.24857515035,5413.7609604724,5506.4088184554,1313.40096632329,1413.34742830964,1507.07282215113,0.121088103902332,0.109129229596653,0.165022018795496,0.16190775656601,341,19,-12934.2167775641,-12329.2990829473,-10338.4942436527,-12192.3026158797
parametric,10000,4,3,0.001,0.6,0constpf,0.499215960502625,0.800000011920929,0.500769972801208,0.800000011920929,0.996845415824027,2861.56503477985,2807.07303406431,2921.40313330844,741.882008069597,713.246761267077,757.533059301853,0.0138009243167426,0.0146708062030287,0.0141068614635083,0.0152908763787701,301,4,-6430.63959066278,-7198.8940856989,-4231.48577721004,-7170.05272421099
parametric,10000,4,3,0.001,0.6,1linpf,0.492514878511429,0.800424993038177,0.495040029287338,0.800000011920929,1.00290656841265,3094.77823945445,3612.39239854516,3490.31808459134,778.477064825828,881.573635745628,872.496042854976,0.0277853316551755,0.023743422775889,0.091403544697776,0.0782416805467584,301,4,-8377.93206858158,-7738.51060856056,-6178.77825512885,-7709.66924707265
parametric,10000,4,3,0.001,0.6,2quadpf,0.491388320922852,0.800149977207184,0.492794692516327,0.800000011920929,1.00214274156112,3505.27607372845,3930.08719189747,3986.54144743424,806.189757360019,893.589831137504,917.997074421525,0.0359392888447256,0.03544913343498,0.113075034968243,0.106695264698197,301,4,-9037.35404606995,-8614.93166217693,-6838.20023261722,-8586.09030068903
parametric,10000,4,3,0.001,0.6,3cubpf,0.49212855100631703,0.800050020217896,0.492845803499222,0.800000011920929,1.00504538964678,3158.0124795044,3610.04150391007,3593.8172949302498,834.67026111832,940.553563460068,943.665226146826,0.0291301894165735,0.0273428363427154,0.103560834450913,0.0909115744239819,301,4,-8491.19013474028,-7977.36548124544,-6292.03632128755,-7948.52411975754
parametric,10000,4,5,0.001,0.6,0constpf,0.498608589172363,0.800000011920929,0.501473724842072,0.800000011920929,1.72476183715099,8325.38463639077,8312.6904791315,8456.97050858955,2112.45550455613,2078.10750719952,2142.65847515397,0.0493032355305836,0.0471131708978251,0.0388526768325951,0.0354152633240362,341,13,-20073.595972662,-20849.6802818938,-17521.1354809825,-20755.9458570581
parametric,10000,4,5,0.001,0.6,1linpf,0.465738028287888,0.802600026130676,0.475456058979034,0.798799991607666,1.03294436673335,8813.14619472752,10848.5469558161,11321.0073328075,2242.03425079147,2629.94317562028,2879.47017096028,0.323152184063407,0.365926514619407,0.64403735702681,0.622866004571039,341,22,-26230.9802628729,-22066.360891038,-23613.6267078455,-21907.7334028545
parametric,10000,4,5,0.001,0.6,2quadpf,0.454204529523849,0.804125010967255,0.459507286548615,0.801599979400635,1.03955317449209,13050.9146480703,15492.6600270548,17402.9818507943,3428.2107946844,3965.29893053368,4605.41541881112,0.58147291564097,0.641370663851384,1.13250166884846,1.19433816693491,341,21,-38191.9179151769,-32916.2508855095,-35581.7747005215,-32764.833737698
parametric,10000,4,5,0.001,0.6,3cubpf,0.450591653585434,0.802100002765656,0.456818372011185,0.799600005149841,1.02994890212003,10578.6353101674,13023.1879642388,14912.9705648931,2552.91405388158,3110.91406832134,3646.33063817486,0.567813981098024,0.660606751003952,1.1478111584374,1.22124153107461,341,21,-31544.2040651203,-26221.098728098,-28934.060850465,-26069.6815802865
parametric,10000,4,3,0.001,0.9,0constpf,0.499141216278076,0.800000011920929,0.500292778015137,0.800000011920929,1.0023859995395,4010.42951121393,4082.18176556431,4118.49930721877,1000.14563274889,1004.53612674866,1031.09763028578,0.0220375899989937,0.0209086215097934,0.0289521554038077,0.0296368639233039,301,5,-9561.43578462594,-10011.1502879256,-7355.07163080122,-9975.09858606576
parametric,10000,4,3,0.001,0.9,1linpf,0.484219431877136,0.800275027751923,0.48431670665741,0.800300002098083,0.988636295530555,5954.02838319667,6710.06066517499,7250.95070786866,1480.22691299043,1662.09546434489,1888.36983903034,0.248407018239096,0.304644744377611,0.386670315185975,0.451385576572851,301,7,-16128.3122590398,-14854.5105923742,-13907.5274244711,-14804.0382097704
parametric,10000,4,3,0.001,0.9,2quadpf,0.467502593994141,0.800875008106232,0.470483362674713,0.801100015640259,1.03901212715817,5709.71834893334,7336.14987235911,7836.20267854054,1451.8995637971,1811.11322574678,2008.6132842736,0.184615098820999,0.196965529002076,0.489267162451282,0.53754166870502,301,6,-17680.5261962118,-14311.2358254609,-15466.9517020151,-14267.973783229
parametric,10000,4,3,0.001,0.9,3cubpf,0.477326422929764,0.800750017166138,0.482408732175827,0.800700008869171,0.967419108728712,5467.09910491359,6564.93684180172,7022.2236288287,1465.5465699896,1683.45803844663,1853.0718199905,0.201223119805295,0.209148601037316,0.418711285136367,0.40546820472386,301,7,-15880.7897604967,-13851.2913498064,-13660.004925928,-13800.8189672025
parametric,10000,4,5,0.001,0.9,0constpf,0.493322938680649,0.800074994564056,0.4984330534935,0.799600005149841,0.966588757804228,15005.9042646986,15193.4271564718,15800.3685539794,3718.12333334806,3725.53699662693,3917.44723993751,0.181545052588019,0.173561989858634,0.208513354424961,0.187175242683175,341,15,-37125.9283061975,-37418.0551960934,-34559.047133774,-37309.9000905138
parametric,10000,4,5,0.001,0.9,1linpf,0.368270635604858,0.831099987030029,0.376508921384811,0.82480001449585,1.54647002261072,20515.9920140308,27517.2757542666,35112.4485401112,5088.21561704437,6709.67782899186,8772.71236139426,5.07050115557985,4.44118912200813,8.67617578747541,7.89201300800092,341,26,-67719.9071665168,-51156.4152621503,-65073.7122500016,-50968.9464124789
parametric,10000,4,5,0.001,0.9,2quadpf,0.330064564943314,0.849300026893616,0.342462778091431,0.842700004577637,1.08946702911185,19883.1528732952,28866.5416369747,45507.8747446649,5219.35391380342,7261.8051228825,10979.6095203079,133.424543472566,233.076088043275,141.30302656994,240.285067166925,341,24,-71526.6935197144,-50157.0135741973,-68894.9192839431,-49983.9654052699
parametric,10000,4,5,0.001,0.9,3cubpf,0.346008896827698,0.843874990940094,0.358640849590302,0.837700009346008,1.141184892403,17476.9292176011,26273.9694583939,39289.1721101432,4364.64204582496,6492.45451546717,9846.12969334163,6.83234955026263,7.0923057782448,13.1513581257506,13.3822123217965,341,26,-64798.8479477222,-43631.1425268521,-62152.6530312069,-43443.6736771807
