noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
parametric,10000,4,3,0.001,0.3,0constpf,0.499960899353027,0.800000011920929,0.501105964183807,0.800000011920929,1.0027034807065,2240.85888797707,2349.94947802033,2257.77019673097,492.677473045278,510.886794912554,492.152660878294,0.00710781140675596,0.00743094027720548,0.00678031572705862,0.00658353850712829,301,3,-5113.67254586577,-5461.0727220447,-2921.72907278501,-5439.44170092877
parametric,10000,4,3,0.001,0.3,1linpf,0.499440222978592,0.800000011920929,0.500562608242035,0.800000011920929,1.01019164593408,2270.87442343678,2396.7744946836,2318.82878151469,594.874278410536,616.11928045264,599.860585852079,0.0100077928116463,0.00961594576264691,0.0132976360690325,0.0142962461952443,301,5,-5413.78755027247,-5721.49740369463,-3207.42339644776,-5685.44570183475
parametric,10000,4,3,0.001,0.3,2quadpf,0.498704820871353,0.800000011920929,0.499946057796478,0.800000011920929,1.00916878582919,2215.03964167532,2340.80813638405,2291.30629934602,623.124728991626,645.481367016719,647.960647458224,0.0217181012231833,0.0205666825108939,0.0214537074340518,0.0177691851843531,301,5,-5360.57900680154,-5666.32874133389,-3154.21485297683,-5630.27703947401
parametric,10000,4,3,0.001,0.3,3cubpf,0.499204039573669,0.800000011920929,0.499748349189758,0.800000011920929,1.01390068655638,2289.53753037366,2413.11398034743,2355.24573796301,560.565195554681,586.48638827109,573.825319400827,0.0121732750117667,0.010627815252146,0.0160601983580696,0.0159642605705889,301,5,-5387.20073723704,-5690.20545185667,-3180.83658341233,-5654.15374999679
parametric,10000,4,5,0.001,0.3,0constpf,0.498132705688477,0.800000011920929,0.501624763011932,0.800000011920929,1.02138035746125,4381.84190452093,4561.62859837546,4431.92596627423,1101.92103973348,1109.22841910922,1111.90928724777,0.0344050493006918,0.0339125495831931,0.0149798592978048,0.0144752164242286,341,12,-10635.7140349694,-10943.5258885088,-8090.46388366177,-10857.0018040451
parametric,10000,4,5,0.001,0.3,1linpf,0.493419677019119,0.799974977970123,0.50087571144104,0.799899995326996,1.01865524660455,4335.52213121782,4641.59902238518,4745.3543950973,1037.22408009361,1049.55321468786,1126.67356613494,0.0708709519061924,0.0668807774365375,0.112396291345899,0.103466912514069,341,16,-10668.3044741461,-10713.4924226229,-8094.21296135059,-10598.1269766713
parametric,10000,4,5,0.001,0.3,2quadpf,0.493296056985855,0.799974977970123,0.497061908245087,0.800000011920929,1.04804892989657,5644.30211111998,6030.94791491265,6139.57618427351,1528.11383925308,1590.53087836021,1663.65491992655,0.092774725571377,0.0928411487218867,0.13047725199868,0.128486623794196,341,17,-14526.957586545701,-14310.8319007461,-11945.6557333783,-14188.2561144225
parametric,10000,4,5,0.001,0.3,3cubpf,0.492878168821335,0.800074994564056,0.495117396116257,0.799899995326996,0.97405488793474,5225.38905369111,5503.00051257221,5852.52815978989,1260.10846063552,1304.5517648274,1424.31282974795,0.105892049949682,0.122567072282202,0.166292900255573,0.185291975702451,341,15,-12903.1045547992,-12940.9950286533,-10336.2233823757,-12832.8399230736
parametric,10000,4,3,0.001,0.6,0constpf,0.499091029167175,0.80002498626709,0.500633656978607,0.800000011920929,1.00037209728285,2821.09992197582,2850.58923919765,2897.43038448456,696.09671510245,689.836215814655,715.283411113207,0.017391272279595,0.017649481316448,0.0161250721970826,0.0175844958498137,301,4,-6470.85091002461,-7026.39327415653,-4271.69709657188,-6997.55191266863
parametric,10000,4,3,0.001,0.6,1linpf,0.492468446493149,0.800074994564056,0.493488043546677,0.800100028514862,0.999242921482122,2952.1324520172,3327.02840452346,3351.18939797926,730.422870042954,817.886248661958,831.712534480855,0.0243283917549074,0.0235146623327582,0.0883677721894378,0.0858952802478343,301,4,-7679.82930637084,-7357.11064412031,-5480.6754929181,-7328.2692826324
