noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
all,1000,10,3,0.001,0.3,0constpf,0.303420156240463,0.909090936183929,0.306683778762817,0.909090936183929,1.0093269309843,269.936711063085,286.020921389337,266.364610105491,60.8407846471269,56.7131005729777,60.5697563048618,0.0426985589027266,0.0522957703314206,0.0168202369432058,0.0172316805814129,301,4,-75.4680439246287,-653.554991420424,1421.39731616492,-633.923970304495
all,1000,10,3,0.001,0.3,1linpf,0.303461372852325,0.909090936183929,0.308228939771652,0.909090936183929,1.00567594744902,212.334026552608,228.217285064209,219.439628056591,55.8976953595897,48.6794649158879,53.1268650726677,0.0585060389669867,0.0822701969428881,0.0363198058724667,0.0679632289335292,301,5,58.2065000398071,-526.463443824396,1559.97961540834,-501.924667429485
all,1000,10,3,0.001,0.3,2quadpf,0.303716689348221,0.909090936183929,0.305604040622711,0.909090936183929,1.02572557766661,242.000369984254,266.388057836217,245.542882636366,60.8620779102503,63.9769980917774,64.0144207588279,0.0710652193288389,0.0844748251766738,0.031837700314922,0.0333571097063883,301,3,-52.730111855989,-599.724895789009,1439.22749295458,-585.001629952063
all,1000,10,3,0.001,0.3,3cubpf,0.302878201007843,0.909090936183929,0.306748360395432,0.909090936183929,0.988438781737606,212.751857293892,216.612649145947,221.750185076252,81.6008247186556,75.6903263802089,83.1673503411453,0.0515441828840634,0.0557920840703951,0.0207653711022117,0.0217560741818183,301,5,27.394048947689,-578.705364025096,1529.16716431622,-554.166587630185
all,1000,10,5,0.001,0.3,0constpf,0.30144128203392,0.909090936183929,0.307741791009903,0.909090936183929,1.08042280624725,462.241045639332,484.606087421768,454.309836831982,97.8194567461773,90.2350418294378,95.0766093226564,0.132157498986778,0.12195675687673,0.0528534889453392,0.075458077959507,341,10,-447.682258502411,-1100.12100477102,1274.93984442032,-1051.0434519812
all,1000,10,5,0.001,0.3,1linpf,0.299738854169846,0.909090936183929,0.308946222066879,0.909090936183929,1.01588804291487,481.954220797821,533.332386330944,511.028934786963,112.082818486773,104.836874148227,120.530817700007,0.181786290263374,0.190033980870542,0.136965433035505,0.18717786486143,341,14,-566.338520958342,-1160.07407856919,1175.91460308032,-1091.36550466344
all,1000,10,5,0.001,0.3,2quadpf,0.303105503320694,0.909090936183929,0.305536687374115,0.909090936183929,1.04663264431107,555.697647773956,589.750418319019,590.61593065615,154.630253501244,157.737924685083,164.327390604895,0.166133054551537,0.16728664273499,0.146312705626143,0.158676049028232,341,11,-790.976686008204,-1398.6558025504,936.553172193508,-1344.6704944816
all,1000,10,5,0.001,0.3,3cubpf,0.299344331026077,0.909090936183929,0.303773283958435,0.908636391162872,1.00373840628591,520.066095627159,583.009322833804,574.726054586758,102.056668597736,110.684697211556,112.599979329813,0.245056751881407,0.174676218531923,0.213546600654863,0.17258278349135,341,12,-681.388040090719,-1220.24552844979,1051.04957338998,-1161.352465102
all,1000,10,3,0.001,0.6,0constpf,0.303513646125793,0.909090936183929,0.308150231838226,0.909090936183929,1.00146780155815,287.038936820508,301.673667745648,293.515053403557,73.3928641106354,67.2009644956002,71.4612346129702,0.0478915717922893,0.022531932556208,0.017226136572127,0.0179658142145805,301,3,-129.749264482497,-714.863601862287,1362.20834032807,-700.14033602534
all,1000,10,3,0.001,0.6,1linpf,0.299232959747314,0.909090936183929,0.303848922252655,0.909090936183929,0.998706008418051,314.732607627761,373.854959204623,347.649561035738,86.9592201456307,92.0475877692125,96.1275617422592,0.0805195242934092,0.0932643909076116,0.0909949972746436,0.0707998746818085,301,3,-323.805093947671,-797.383655546783,1168.1525108629,-782.660389709837
all,1000,10,3,0.001,0.6,2quadpf,0.303794473409653,0.909090936183929,0.305651873350143,0.909090936183929,1.01322490686057,325.010685399123,339.23054302228,375.642850383358,84.0404825624456,82.599598014511,103.64829237612,0.135244748082308,0.145891717074375,0.127690523217019,0.126107233701308,301,4,-233.660282073582,-810.102335923137,1263.20507801597,-790.471314807208
all,1000,10,3,0.001,0.6,3cubpf,0.303828328847885,0.909090936183929,0.304899841547012,0.909090936183929,1.03333943333662,403.475947849936,440.824630899195,401.46114399824,105.1647160672,112.167908653397,99.3397800339636,0.0596012082372134,0.0557726955712644,0.0652544409114696,0.0549265625501102,301,55.2679585024243,-393.449162100336,-906.745410829423,1355.02679197213,-635.503795730584
all,1000,10,5,0.001,0.6,0constpf,0.301554083824158,0.909090936183929,0.302840739488602,0.909090936183929,0.952956085402377,804.699740886657,809.206074168231,822.589570526286,240.392933865079,238.164779486441,241.667330738793,0.0968628878646285,0.0797655192721404,0.0513282280810659,0.0509836284306089,341,12,-1388.74170730934,-2066.18534950347,343.695906171351,-2007.29228615569
all,1000,10,5,0.001,0.6,1linpf,0.294246137142181,0.909090936183929,0.305494993925095,0.908181846141815,1.0125749988621,1010.45413321591,1118.88228847915,1175.28537212528,253.902487112526,255.982374425667,294.520286497285,0.426902532309191,0.53618941538528,0.489714968368619,0.577014240554632,341,64.0158005793409,-1939.69772465096,-2400.68163949819,48.0207087134804,-2086.50775626666
all,1000,10,5,0.001,0.6,2quadpf,0.298654586076736,0.909090936183929,0.304319471120834,0.909090936183929,0.960720473482004,1366.07654448843,1414.09988929325,1732.49341622468,321.401665587425,318.694359721436,419.051991193897,1.0926642632599,1.03460159411212,1.13243694980881,1.04040029388302,341,60.4918910649063,-2662.60471589956,-3253.9726380219,-692.180768057245,-2957.09324031249
all,1000,10,5,0.001,0.6,3cubpf,0.284504801034927,0.909318208694458,0.297916233539581,0.909545481204987,0.964006413473768,1080.90236598758,1249.39139031873,1493.93904683627,257.077518152178,277.760578214601,345.060992733344,0.7991323674539,0.748432925896246,1.19072874703195,1.17783801649144,341,17,-2338.30393706666,-2641.95976827952,-581.327547191056,-2558.52792853682
all,1000,10,3,0.001,0.9,0constpf,0.303914248943329,0.909090936183929,0.304071456193924,0.909090936183929,1.03765345725261,391.602815937568,423.751027466403,403.474108103396,109.352496616088,117.064136301018,115.760159309246,0.0421780181752007,0.0414912097451041,0.0339655785258436,0.0414709937706795,301,3,-473.630327534841,-995.910625107312,1018.32727727573,-981.187359270365
