noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
all,10000,4,3,0.001,0.3,0constpf,0.499940186738968,0.800000011920929,0.500401794910431,0.800000011920929,0.991210383899665,2296.88882934899,2230.68082819572,2316.24020419527,587.68842366732,567.328068718132,591.024511364886,0.0121840604651208,0.0113099245405783,0.00799576148422603,0.00782890740751156,301,5,-4984.0177938277,-5759.15450603263,-2777.65364000299,-5723.10280417275
all,10000,4,3,0.001,0.3,1linpf,0.49899810552597,0.800000011920929,0.500568330287933,0.800000011920929,1.01317066736361,2372.65342772703,2533.48110281468,2402.46199012703,586.262318196501,614.044694854274,592.314584176715,0.0170880345817678,0.0185787807638142,0.0136897454276044,0.0129422971405915,301,5,-5683.0515953379,-5907.83149184707,-3476.68744151319,-5871.77978998719
all,10000,4,3,0.001,0.3,2quadpf,0.498965919017792,0.800000011920929,0.501411259174347,0.800000011920929,0.994759429993913,2453.63006615123,2464.4431522272,2537.28144355571,594.442918878511,576.766801826719,611.47639390038,0.0171255870171067,0.018120267391736,0.022260807892693,0.0231307213474368,301,5,-5470.41990810784,-6086.14597005947,-3264.0557542831302,-6050.09426819959
all,10000,4,3,0.001,0.3,3cubpf,0.498540371656418,0.800000011920929,0.500598907470703,0.800000011920929,1.00650694742707,2355.54158850451,2408.01120847741,2433.82435970428,608.876875653073,592.928974534128,618.468435850732,0.0160888920583265,0.0176135197113263,0.0151654279784675,0.0183556616299594,301,6,-5387.88036602307,-5916.83692831516,-3174.30587182638,-5873.5748860833
all,10000,4,5,0.001,0.3,0constpf,0.498998641967773,0.799974977970123,0.501384794712067,0.799899995326996,1.01140718775064,4464.2844549767,4595.74221821484,4521.65664970727,1082.28277708116,1093.81543698021,1102.20559124982,0.0262081747710053,0.023407774882756,0.0145711157927063,0.0136587204740274,341,10,-10677.1153103901,-11073.1344641157,-8146.28583982646,-11001.031060396
all,10000,4,5,0.001,0.3,1linpf,0.492717027664185,0.800100028514862,0.496923387050629,0.800100028514862,1.01911577788079,4358.97167005538,4794.8886804058,4773.14717733009,1173.38705656563,1250.71643470445,1266.91711877227,0.0656734697642507,0.0719938133627549,0.10352312807597,0.114473895463879,341,16,-11377.2102302205,-11032.717453242,-8803.11871742501,-10917.3520072904
all,10000,4,5,0.001,0.3,2quadpf,0.493342578411102,0.800050020217896,0.499412596225739,0.800599992275238,1.0551118695157,5837.68530136969,6086.04968397782,6256.03749380798,1345.49577531433,1356.43687669735,1458.16790677556,0.101861568066417,0.0968492842842367,0.118521452331609,0.122385326419452,341,149.395938113879,-13904.1812451226,-14067.5702771403,-10368.2596142869,-12990.3747131485
all,10000,4,5,0.001,0.3,3cubpf,0.490793019533157,0.800275027751923,0.495432019233704,0.799399971961975,0.992318571024297,5445.84250376026,5902.42336653411,6078.43418287028,1367.91178420789,1437.47133712661,1510.41314810111,0.116889267856495,0.109636040588648,0.167694531089904,0.14778315929798,341,19,-13959.7894073214,-13589.5085759363,-11364.06687341,-13452.5121088688
all,10000,4,3,0.001,0.6,0constpf,0.499374747276306,0.800000011920929,0.50013542175293,0.800000011920929,0.99812596858984,2789.94027380898,2893.93768331502,2858.2138299003,655.214681735626,676.030458094518,679.115667455972,0.0145901113011936,0.0148180866416128,0.0149242909453795,0.0144581785438227,301,4,-6529.93628281907,-6882.30991108921,-4330.78246936634,-6853.46854960131
all,10000,4,3,0.001,0.6,1linpf,0.498847603797913,0.80002498626709,0.499848246574402,0.799899995326996,1.00221498628888,3394.61863300368,3485.94774670903,3371.34282579999,876.053403884756,896.053731244243,867.490297426903,0.0237365012918226,0.0266672244880621,0.0301743089712316,0.0369458564354302,301,300.787451318462,-7560.42805326963,-7939.76917113995,-3221.33569767947,-5770.98926751462
all,10000,4,3,0.001,0.6,2quadpf,0.495364397764206,0.800050020217896,0.497752696275711,0.800000011920929,0.997923825185161,3778.07486405663,3981.86488283706,3956.51520551036,877.128651117004,912.505782709088,944.714575789436,0.0398549349535487,0.0408915480933358,0.0679348378261553,0.0614323704116732,301,269.098522680845,-8648.5442857306,-8772.20998498558,-4537.93989164092,-6831.91804286074
all,10000,4,3,0.001,0.6,3cubpf,0.498150885105133,0.800000011920929,0.499966561794281,0.800000011920929,0.993705354577225,3642.29758000173,3642.52222881851,3670.11590164479,913.913918761593,895.706993618638,923.6402123065,0.0311188692947321,0.0346487370787619,0.0417961503718695,0.0440921703050909,301,288.399072383598,-7897.66030010709,-8535.62485275945,-3647.89237329433,-6456.16937791151
all,10000,4,5,0.001,0.6,0constpf,0.498044788837433,0.800000011920929,0.502785623073578,0.800000011920929,1.15143019674206,8330.33709823056,8329.78292057219,8483.00700712685,2189.90981128458,2135.76804945597,2220.01017865157,0.0506614485835621,0.0613974014625175,0.037698620247681,0.0350027224166134,341,12,-20225.1019400563,-21016.4938190303,-17679.8517887487,-20929.9697345666
all,10000,4,5,0.001,0.6,1linpf,0.479355037212372,0.800599992275238,0.484667539596558,0.800300002098083,1.02971401071588,9706.88301645344,10889.9502032098,11049.0843597079,2337.46579364301,2585.84454967028,2653.6812417068,0.23816768188289,0.213006870466689,0.390575782436503,0.379390792995528,341,768.308822006925,-24732.9718617462,-22552.0799761791,-16734.4776774404,-17012.3118587171
all,10000,4,5,0.001,0.6,2quadpf,0.45966973900795,0.801349997520447,0.469418168067932,0.796500027179718,1.06382528082286,14272.7886924077,16331.5273775521,17346.2705418127,3525.34008065929,3932.92798065299,4353.59075239504,0.461507059345468,0.514159666198206,0.744449541995798,0.749149824408199,341,1159.26910786583,-37528.3725006785,-33277.7193304023,-26710.9215834048,-24918.9944799725
all,10000,4,5,0.001,0.6,3cubpf,0.460272133350372,0.802049994468689,0.46787416934967,0.800499975681305,1.01417465364366,11925.6361640672,14028.0471870119,14973.795745087,2892.25903042364,3349.64925085299,3659.69489704083,0.399409393666929,0.41863068913471,0.759221796767881,0.744255971323481,341,863.191414142369,-32347.010047445,-27909.407560697,-23664.3800784672,-21685.5036585631
all,10000,4,3,0.001,0.9,0constpf,0.49851405620575,0.800000011920929,0.499802589416504,0.800000011920929,1.00394634897105,3904.26960648668,4048.18408596428,4033.57994709435,987.310864994863,1010.47101607004,1023.64149720148,0.0217737190614076,0.0251186789455621,0.0266148171869436,0.0311106142476018,301,4,-9507.31020406863,-9775.16094296309,-7308.1563906159,-9746.31958147518
all,10000,4,3,0.001,0.9,1linpf,0.492810249328613,0.80002498626709,0.494440525770187,0.800000011920929,1.00951759700393,6864.46058822812,7259.13345503291,7304.9613712378105,1682.80206078327,1769.6701806299,1794.77980390267,0.0646943417581721,0.0664023117626474,0.113211602032854,0.13043036037563,301,295.6886692887,-16864.2299327482,-16503.1479594454,-12561.9015310752,-14371.1320097371
all,10000,4,3,0.001,0.9,2quadpf,0.482402503490448,0.800400018692017,0.485966742038727,0.799700021743774,0.965654398246305,6515.24287130534,7332.63002005655,7701.94408647638,1713.3974925139,1872.00048252612,2010.67292692795,0.13881318612008,0.161294604453768,0.25125379145956,0.252121543576743,301,283.944495032675,-17239.3720151,-15889.3917375731,-13021.7231072007,-13842.0552816386
all,10000,4,3,0.001,0.9,3cubpf,0.487237393856049,0.800225019454956,0.489972740411758,0.799899995326996,0.990326419727966,6237.6402663432,6751.52467566494,7062.22388315718,1500.51497609563,1609.80450179411,1706.74879803681,0.0935378757716201,0.0827031443665606,0.165835471732232,0.138005699566939,301,293.133657322052,-15534.391040274,-14890.0431702336,-11250.4851445349,-12776.4497264593
all,10000,4,5,0.001,0.9,0constpf,0.493927389383316,0.800050020217896,0.496800720691681,0.799899995326996,1.05721779504143,14888.7876579596,15175.1704775361,15717.5989206265,3766.2226522379,3819.06983243638,3986.02941867593,0.188524665991779,0.158109583031219,0.231472567954777,0.18996614223678,341,14,-37278.480619945,-37282.0206203951,-34718.8097878934,-37181.0758551874
all,10000,4,5,0.001,0.9,1linpf,0.445329010486603,0.800525009632111,0.453048884868622,0.800999999046326,1.11925549229648,26936.3403407809,29649.4557255964,34658.3169456318,6580.37921556056,7163.75370139932,8759.91113356338,62.8585697023265,2.52336085457586,63.8322994305304,3.50259934310504,341,1178.86382820126,-70586.691197589,-64675.7114562804,-59627.9556772032,-56175.7020027385
all,10000,4,5,0.001,0.9,2quadpf,0.373874962329865,0.820800006389618,0.382929921150208,0.821600019931793,0.959628164375902,24829.6585775736,31344.9406651812,46753.8260781867,5964.57074874981,7532.30718858469,11550.3182840841,16.2170858524142,7.81695674884501,20.9138608595602,12.4231978790376,341,1236.37033854361,-74599.7550304444,-59115.7179755595,-63226.3779968857,-50201.0670088447
all,10000,4,5,0.001,0.9,3cubpf,0.41285765171051,0.811450004577637,0.424977332353592,0.805299997329712,1.12878449369803,23561.410242,28138.6554883343,39370.9746206774,5752.86172030527,6815.12203561508,9646.53397972279,5.06184344740053,4.79561014743718,7.77486188627259,7.41073173122545,341,1162.19253544326,-66901.1699770123,-56304.1588537241,-56062.6401518525,-47924.3550954082
