noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
parametric,10000,4,3,0.001,0.3,0constpf,0.49967098236084,0.800000011920929,0.501112520694733,0.800000011920929,0.999494441904424,2324.94482423762,2319.62432551621,2355.01770181004,538.27355484282,521.232252232232,548.738115916751,0.0096569386862446,0.0103871281277175,0.00671185364214153,0.0070027460543974,301,3,-5073.71315549689,-5720.43675816088,-2881.76968241613,-5698.80573704495
parametric,10000,4,3,0.001,0.3,1linpf,0.499399423599243,0.800000011920929,0.500992298126221,0.800000011920929,0.999210977003239,2228.32788492423,2223.04965090276,2275.04114155484,560.08834286116,540.333661344323,570.991448257687,0.0135308305288969,0.0129222039895508,0.0132991197925612,0.0130966187708451,301,5,-4914.76662449417,-5566.83245557079,-2708.40247066946,-5530.78075371091
parametric,10000,4,3,0.001,0.3,2quadpf,0.498444825410843,0.800000011920929,0.499973058700562,0.800000011920929,1.01172700850485,2286.51097747659,2477.125502361,2370.82481083062,562.824019219887,593.487885035337,592.790874529779,0.0186242821984581,0.0160311063757747,0.0232530994074323,0.0231165881579202,301,5,-5529.22677479268,-5688.66999339295,-3322.86262096797,-5652.61829153307
parametric,10000,4,3,0.001,0.3,3cubpf,0.499018788337708,0.800000011920929,0.500395655632019,0.800000011920929,0.993522625229283,2386.83369253707,2373.90687283846,2467.08571692598,562.649991205921,545.761746707002,576.890277772687,0.0144710580326638,0.013858320556364,0.0148592295278782,0.0158838871221738,301,5,-5227.33723909092,-5888.96736748599,-3020.9730852662,-5852.91566562611
parametric,10000,4,5,0.001,0.3,0constpf,0.499590903520584,0.80002498626709,0.500750124454498,0.800000011920929,0.978037792905269,4391.81903670397,4369.23596778021,4446.55332308413,1108.80912935275,1092.75874883555,1123.34689410662,0.0211580045631247,0.0245022537723225,0.0140990850651431,0.0163266340572201,341,10,-10221.9894332315,-10981.2563321134,-7691.15996266789,-10909.1529283937
parametric,10000,4,5,0.001,0.3,1linpf,0.493659973144531,0.80017501115799,0.497731626033783,0.799799978733063,0.979429831049176,4445.69141142821,4657.77236769195,4836.11064847132,1092.52541677724,1101.57892113582,1202.04087271735,0.0766909520467907,0.0919913458242897,0.10943752916024,0.118989081985024,341,14,-10808.7025776555,-11048.4336564109,-8249.031745604,-10947.4888912032
parametric,10000,4,5,0.001,0.3,2quadpf,0.49187108874321,0.80019998550415,0.498316645622253,0.800700008869171,1.03055159747905,5885.51362196932,6437.26332071095,6456.17349658738,1368.21459008965,1447.36606412925,1507.61656767585,0.104184730753627,0.112890968088614,0.137947237812318,0.150630638860236,341,16,-15055.2587696804,-14475.4564241179,-12481.1672568849,-14360.0909781663
parametric,10000,4,5,0.001,0.3,3cubpf,0.490561723709106,0.800249993801117,0.496453672647476,0.799899995326996,1.02703508142189,4913.81647734807,5526.32167092269,5565.76073677275,1224.34903179251,1323.16134136645,1380.43391891077,0.123417539130965,0.128827011491507,0.168371599477984,0.152783315126631,341,17,-12982.9660245783,-12242.3310182812,-10401.6641714108,-12119.7552319576
parametric,10000,4,3,0.001,0.6,0constpf,0.498909324407578,0.800000011920929,0.501206159591675,0.800000011920929,1.00144371542904,2835.39840216474,2898.3909419713,2905.54336839507,717.844490593669,705.005825357483,720.029726957358,0.0131030752701211,0.0152124560048777,0.0154838518312804,0.0160492851187299,301,3,-6598.79353465757,-7100.48578551683,-4406.85006157681,-7078.8547644009
parametric,10000,4,3,0.001,0.6,1linpf,0.492901802062988,0.80019998550415,0.494844198226929,0.800100028514862,0.997795588469432,3068.76295115063,3482.70043283551,3437.62457212699,677.503203295821,768.207896564407,779.54182873115,0.0222485243478807,0.0200660337949435,0.0899174532893461,0.0875652010086561,301,4,-7891.81665879983,-7484.53230889291,-5692.6628453471,-7455.690947405
parametric,10000,4,3,0.001,0.6,2quadpf,0.489981830120087,0.799950003623962,0.493970066308975,0.800100028514862,1.0036876660712,3416.83858393962,4001.68732459023,3963.00428017638,890.055690256394,994.264802523937,1023.86772089723,0.039189346665118,0.0411106770469337,0.112772838283376,0.109910673812697,301,4,-9381.90425422833,-8605.78854839202,-7182.75044077559,-8576.94718690412
parametric,10000,4,3,0.001,0.6,3cubpf,0.491214692592621,0.800050020217896,0.496453016996384,0.80019998550415,0.996710161760068,3263.16201312063,3642.11696987408,3707.37296261426,823.112977468353,869.326203439861,920.297192041158,0.0317935935031717,0.0331495634000735,0.101150903569561,0.119343986602746,301,4,-8412.88634662788,-8164.54998117796,-6213.73253317514,-8135.70861969006
parametric,10000,4,5,0.001,0.6,0constpf,0.497985392808914,0.800050020217896,0.50122344493866,0.800000011920929,1.00132930570488,8284.93531708445,8378.50534710154,8431.22749223995,1953.73629717736,1941.12454855236,1981.82057271154,0.0531154021028894,0.0546015227937634,0.0389969912764361,0.0382625039405574,341,15,-19927.2597913078,-20447.3432285236,-17360.3786188843,-20339.188122944
parametric,10000,4,5,0.001,0.6,1linpf,0.465656191110611,0.801275014877319,0.479928463697433,0.800100028514862,0.968500654294132,9098.95414929869,10900.1317946675,11595.8065279763,2261.33740274443,2551.57729932088,2810.60025393402,0.320143494998713,0.335747627433402,0.651182804925811,0.650110466376652,341,22,-26177.4181879767,-22676.5831040862,-23560.0646329493,-22517.9556159028
parametric,10000,4,5,0.001,0.6,2quadpf,0.449179738759995,0.802124977111816,0.455915957689285,0.801599979400635,1.01184831807797,12646.4972952179,15361.3972035951,17333.4851647863,3140.01417621455,3753.26433662142,4239.58655405937,0.72426732877587,0.612265926312046,1.25143569969415,1.18107486832117,341,22,-37503.323080433,-31529.0229428649,-34885.9695254056,-31370.3954546815
parametric,10000,4,5,0.001,0.6,3cubpf,0.452686876058578,0.802124977111816,0.456638425588608,0.800700008869171,0.985020515484608,10803.2321378094,13304.420997278,14808.5584372049,2648.27466562928,3251.96606865651,3737.39964208645,0.54730719181458,0.506422416058249,1.11344183326677,1.0955275004335,341,22,-32386.774131869,-26859.0136068774,-29769.4205768417,-26700.3861186939
