noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
all,10000,4,3,0.001,0.3,0constpf,0.49943009018898,0.799974977970123,0.500400364398956,0.799899995326996,1.01053231251292,2161.86702886319,2187.29772676463,2200.45230221469,489.802625642779,486.390982863716,489.476025446021,0.0126937088121504,0.0106834632653418,0.00709272700951644,0.00689423569256561,301,3,-4739.37741925669,-5297.33930901193,-2547.43394617593,-5275.70828789601
all,10000,4,3,0.001,0.3,1linpf,0.498788863420486,0.800000011920929,0.501573503017426,0.800000011920929,0.996354578096645,2378.23389418869,2466.84561026383,2434.5161041107,552.048931872101,549.122903571626,565.584999989452,0.016103852617201,0.0178346556028701,0.013552100225672,0.0141750167798101,301,5,-5419.9370276709,-5850.56565212158,-3213.57287384619,-5814.5139502617
all,10000,4,3,0.001,0.3,2quadpf,0.498272567987442,0.800000011920929,0.50043773651123,0.800000011920929,1.0117084060122,2343.77500916293,2565.87779681991,2436.44192513057,643.994634056464,682.691961442653,678.221442262841,0.0190955939787622,0.0197473327986573,0.0224796906383058,0.0226645005216328,301,5,-5885.13951652512,-5965.53928643878,-3678.7753627004,-5929.4875845789
all,10000,4,3,0.001,0.3,3cubpf,0.4996337890625,0.800000011920929,0.500634551048279,0.800000011920929,1.01306302809948,2318.94187463292,2378.58390670328,2367.39002970297,637.240818822404,645.213678811857,651.274612058556,0.0174025856189013,0.017378093459073,0.0162035623067845,0.0154360467935771,301,5,-5435.59517103027,-5902.36538691066,-3229.23101720556,-5866.31368505078
all,10000,4,5,0.001,0.3,0constpf,0.499215424060822,0.800000011920929,0.50241893529892,0.800000011920929,0.997263292041558,4216.11732583237,4299.09672752352,4248.9457013031,1139.48886258611,1126.93809881104,1151.86696754293,0.0295254357385619,0.0253414605301394,0.0147235512053946,0.0133338157113611,341,11,-10148.0696526691,-10689.2123768369,-7610.02984173351,-10609.8986327452
all,10000,4,5,0.001,0.3,1linpf,0.49304062128067,0.80017501115799,0.498349845409393,0.800100028514862,0.980795939582267,4518.17976193555,4980.9058655825,4922.19900509897,1119.81549711652,1180.62791430665,1199.00963587483,0.0682213761347193,0.0742463491600656,0.103767450120927,0.117991306661195,341,16,-11609.0675597783,-11243.9905181042,-9034.9760469828,-11128.6250721525
all,10000,4,5,0.001,0.3,2quadpf,0.491622865200043,0.800000011920929,0.496689051389694,0.799700021743774,0.996111410638364,6019.20792036519,6517.75821424132,6529.83672830804,1512.61318026413,1591.70765998477,1664.35363102104,0.0941840861272466,0.107896547425277,0.126799282149474,0.134705926573536,341,15,-15506.9317484522,-15033.6422012586,-12940.0505760287,-14925.487095679
all,10000,4,5,0.001,0.3,3cubpf,0.49196445941925,0.800300002098083,0.49725815653801,0.800499975681305,1.02480986926231,5115.39816453294,5499.71962261771,5682.10171618189,1238.23312538848,1273.64540709128,1380.29189259237,0.114106102429745,0.118952616013726,0.163245886956813,0.160494978958159,341,18,-12828.730059418,-12671.2625798428,-10240.2178658785,-12541.4764531473
all,10000,4,3,0.001,0.6,0constpf,0.499448150396347,0.800000011920929,0.500373840332031,0.800000011920929,0.990418943375966,2985.30490031101,2990.44483870861,3041.77254343361,722.472945636167,712.576589779559,738.648313279849,0.0148577045459463,0.0200463090045969,0.0144636314174693,0.0178983176020688,301,4,-6796.04285697634,-7407.55569189435,-4596.8890435236,-7378.71433040645
all,10000,4,3,0.001,0.6,1linpf,0.498622715473175,0.800000011920929,0.498990774154663,0.800000011920929,0.995873666925366,3452.72277622563,3562.41305444123,3419.82160293582,860.005053567627,884.09193730214,850.269363581314,0.0271168559079919,0.023627162196279,0.0397043744595897,0.0336640383345138,301,302.659917206844,-7685.69014907305,-8020.13582517283,-3333.09667709275,-5837.85480515735
