noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
parametric,10000,4,3,0.001,0.3,0constpf,0.49958011507988,0.800000011920929,0.500254452228546,0.800000011920929,0.990654879424234,2272.44887831364,2222.40436709815,2300.94799413683,580.914264342682,558.544269832318,588.395712464889,0.0117855559869371,0.0123999848547737,0.00729187831588239,0.00688786085276926,301,4,-4951.89727386093,-5698.72628531264,-2752.74346040819,-5669.88492382474
parametric,10000,4,3,0.001,0.3,1linpf,0.499340295791626,0.799899995326996,0.500069499015808,0.800000011920929,1.0097556950683,2513.95135261199,2597.64682888906,2558.09884158015,546.284836074302,557.884378941295,560.868907764992,0.0114066835890764,0.0110106790405298,0.0134780443650888,0.0145920873550793,301,5,-5699.0624156607,-6110.47237737258,-3492.69826183599,-6074.4206755127
parametric,10000,4,3,0.001,0.3,2quadpf,0.498976647853851,0.800000011920929,0.499728262424469,0.800000011920929,0.990399882142105,2360.22448088824,2354.22887307842,2475.13125902619,606.799269871531,599.270119515525,637.009777113588,0.0147245657384817,0.0136135307471054,0.0209507237687963,0.0194433513018297,301,5,-5294.99798518788,-5924.04750151955,-3088.63383136317,-5887.99579965967
parametric,10000,4,3,0.001,0.3,3cubpf,0.499060213565826,0.800000011920929,0.500613152980804,0.800000011920929,1.00034851457111,2418.7960075138,2518.7285463047,2486.19048482941,592.727550879433,602.87500181413,606.301956005109,0.0117411783599028,0.0127671848571932,0.0155593289748873,0.0161426847115867,301,5,-5631.20709623766,-6013.04711678647,-3424.84294241295,-5976.99541492659
parametric,10000,4,5,0.001,0.3,0constpf,0.498255282640457,0.800000011920929,0.503193616867065,0.800000011920929,0.982312543009773,4316.51682786003,4337.40683378969,4371.60466619017,1105.00297404056,1061.8262927116,1108.36268808612,0.035582769478273,0.0379891069502557,0.0128514815860079,0.011857485763969,341,11,-10094.4662530026,-10821.0396038012,-7556.42644206697,-10741.7258597094
parametric,10000,4,5,0.001,0.3,1linpf,0.493133991956711,0.80017501115799,0.497274965047836,0.799600005149841,1.00112441516721,4561.21584376406,4918.62990851254,4978.05370332875,1081.60624875567,1117.69405886557,1179.31127338091,0.0711097274871147,0.0660866932897612,0.110787683779281,0.0979900018970754,341,17,-11356.6479347562,-11251.6441850395,-8775.34608158875,-11129.0683987159
parametric,10000,4,5,0.001,0.3,2quadpf,0.492295354604721,0.799825012683868,0.499504745006561,0.800000011920929,0.988654908087178,5550.99808076889,5936.06400778105,6116.5467681156,1484.07549143507,1507.3879805382,1629.31922147378,0.111424339044867,0.115184825238568,0.132745709632444,0.128848746257504,341,16,-14172.9039766385,-14038.1471444079,-11598.812463843,-13922.7816984563
parametric,10000,4,5,0.001,0.3,3cubpf,0.491722941398621,0.800074994564056,0.493733257055283,0.800300002098083,0.9969566710003,5029.04316692434,5485.00803879123,5679.75706572042,1279.76855188032,1374.40969950462,1458.12875933359,0.104521606148741,0.106023414917806,0.158609466706629,0.150331945119857,341,17,-13002.8354765917,-12583.6234376093,-10421.5336234242,-12461.0476512857
parametric,10000,4,3,0.001,0.6,0constpf,0.499301314353943,0.800000011920929,0.500456750392914,0.800000011920929,0.996392260394531,2925.12751801227,3020.96378779166,2973.03133764872,685.748673351211,696.360569459649,699.063388098401,0.0141265780429322,0.0127918338043329,0.0160471523627273,0.0134458832565941,301,2,-6828.64871450263,-7217.75238272695,-4643.91558179384,-7203.331701983
parametric,10000,4,3,0.001,0.6,1linpf,0.49224066734314,0.800074994564056,0.496106117963791,0.799899995326996,0.973312464591211,2954.54719672358,3297.43490388091,3336.74802872138,757.857358451998,804.890622980559,842.649795893477,0.0259428670986205,0.0273770322906782,0.083471438443177,0.0982291200404806,301,5,-7592.65105372294,-7414.80911035116,-5386.28689989822,-7378.75740849127
parametric,10000,4,3,0.001,0.6,2quadpf,0.49103906750679,0.800424993038177,0.494775533676147,0.799799978733063,1.02977739903689,3475.22208723112,4149.0940391821,3998.80296468138,867.325537548229,1001.23344567082,995.451587687235,0.04087171484283,0.0474420234428901,0.118309879374662,0.113718643482439,301,4,-9690.65496970584,-8677.0952495587,-7491.5011562531,-8648.25388807079
parametric,10000,4,3,0.001,0.6,3cubpf,0.493453860282898,0.799974977970123,0.493573635816574,0.800000011920929,1.01063700561034,3330.38851155668,3710.73293948341,3734.78361526009,858.696649001655,951.557659474478,986.954588459237,0.0353112053613898,0.0340139625722423,0.0996177150684222,0.0981238248550004,301,5,-8712.58119791578,-8368.17032111667,-6506.21704409107,-8332.11861925679
parametric,10000,4,5,0.001,0.6,0constpf,0.498206824064255,0.799950003623962,0.50195699930191,0.799799978733063,0.968819622724273,8334.39427269932,8444.82037043349,8489.1696471781,2099.0166060441,2087.53839423475,2124.20375140881,0.0570737078075857,0.0631748979468487,0.039144623757603,0.0414777684979615,341,12,-20358.7175293365,-20842.8217574868,-17813.4673780289,-20756.2976730231
parametric,10000,4,5,0.001,0.6,1linpf,0.463246673345566,0.801549971103668,0.471517026424408,0.80019998550415,0.981313653919524,8486.23689621597,10510.656195703301,11030.4178010806,2264.04007295743,2695.94028411059,2899.34475661177,0.270983891617549,0.293593878456187,0.661242352069052,0.624936449321182,341,21,-25689.1929596277,-21458.5539383468,-23079.0497449723,-21307.1367905353
parametric,10000,4,5,0.001,0.6,2quadpf,0.45361265540123,0.801024973392487,0.461799561977386,0.800899982452393,0.963939253210441,12642.3324654103,15075.2073201969,17292.8688858004,3130.46386206067,3641.13437629741,4319.31924092696,0.674539627141558,0.739087092405839,1.23861720784986,1.31004040341122,341,20,-36710.6833929886,-31505.5926549419,-34107.7505187052,-31361.3858475024
parametric,10000,4,5,0.001,0.6,3cubpf,0.453760206699371,0.802425026893616,0.468527734279633,0.798900008201599,0.933819817229376,10732.3075354529,13278.449315485,14829.1508695271,2497.39424743732,2958.11511818136,3481.54167652519,0.540290425179587,0.562467269255158,1.12023112161664,1.03300334777816,341,21,-31749.1288673328,-26417.4035657805,-29138.9856526774,-26265.986417969
parametric,10000,4,3,0.001,0.9,0constpf,0.499100834131241,0.800000011920929,0.498853236436844,0.800000011920929,0.985181520540224,4004.34691228795,4025.72515279718,4108.43260037488,972.142618797596,979.635775301084,999.640969979511,0.0181190232086051,0.0212080791163614,0.0274131844751127,0.0327678293378131,301,4,-9400.72185619652,-9944.97906217109,-7201.56804274379,-9916.13770068319
parametric,10000,4,3,0.001,0.9,1linpf,0.483181893825531,0.801150023937225,0.485420227050781,0.802200019359589,0.99281606270274,5841.78662364849,6699.05189392475,7183.24518663167,1442.44714397263,1651.63123692231,1798.08595486351,0.229188901918103,0.182905144526895,0.421257578566348,0.361781878756912,301,7,-16085.3662616941,-14554.4675352422,-13864.5814271254,-14503.9951526384
parametric,10000,4,3,0.001,0.9,2quadpf,0.465791314840317,0.801949977874756,0.472310841083527,0.803099989891052,1.01643715188709,5595.1062795359,7316.35501640757,7769.22690237726,1443.80739023855,1827.42939621861,2048.41981897835,0.206402220166872,0.265474628107662,0.495106576385386,0.52662240441237,301,6,-17673.5688252524,-14065.8273395489,-15459.9943310557,-14022.565297317
parametric,10000,4,3,0.001,0.9,3cubpf,0.475916057825089,0.800599992275238,0.478976845741272,0.800400018692017,1.03009219610638,5550.83543470861,6978.10655574701,7182.56885417314,1388.17927911589,1714.11103094413,1838.23307947972,0.184046240047804,0.215389136312028,0.411656905705626,0.436768437842003,301,7,-16768.4351733823,-13864.029427649,-14547.6503388136,-13813.5570450452
parametric,10000,4,5,0.001,0.9,0constpf,0.492096483707428,0.800100028514862,0.493651211261749,0.799700021743774,0.978109154700464,15091.908670216,15489.9709709411,15957.1095297796,3663.10795048791,3748.54032229387,3897.1318399504,0.186714497788038,0.180854169877855,0.219274404102638,0.214254677141714,341,14,-37767.02258647,-37482.0332414078,-35207.3517544185,-37381.0884762001
parametric,10000,4,5,0.001,0.9,1linpf,0.373968333005905,0.828525006771088,0.377368301153183,0.828599989414215,1.12431729678866,20833.7073127517,27506.6520668664,35396.2173540811,5173.03933103124,6833.23506549075,8900.78983621848,5.27403036171306,4.33366039868394,8.87558197845408,7.94900334170408,341,26,-67945.7742647142,-51961.4932875659,-65299.5793481989,-51774.0244378945
parametric,10000,4,5,0.001,0.9,2quadpf,0.334330141544342,0.84722501039505,0.338769316673279,0.841099977493286,1.09716735640689,19869.6155035348,29447.3392160595,45483.1825890312,5029.0486859591,7378.51794249387,10946.1562090028,103.874262593078,316.354283185055,112.234142135803,324.573424669571,341,23,-72923.7143171068,-49751.3283789879,-70299.1504217074,-49585.4905504324
parametric,10000,4,5,0.001,0.9,3cubpf,0.349401772022247,0.836475014686584,0.347429603338242,0.837499976158142,1.07821313504126,17574.8881212847,25889.6617661328,39218.3273966137,4240.12879041227,6344.31577800191,9797.84911587101,8.44872439371575,8.01982108507864,14.6536352357306,14.3746653663246,341,26,-63733.9550882693,-43578.0338233939,-61087.7601717541,-43390.5649737225
