noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
all,1000,10,3,0.001,0.3,0constpf,0.302952170372009,0.909090936183929,0.307300120592117,0.909090936183929,1.02770353460561,224.710020953863,257.939278706338,226.463061751207,61.3351615099011,59.9278093430243,62.5841274195721,0.046454270833372,0.0367345779300807,0.0129986617280882,0.0105318388675762,301,3,-27.7341760987254,-566.090364927528,1464.22342871184,-551.367099090582
all,1000,10,3,0.001,0.3,1linpf,0.304110109806061,0.909090936183929,0.304668217897415,0.909090936183929,1.03619424620084,225.663683626984,256.696748876484,234.28819430415,55.0110017784487,61.6066496325527,55.6575040501904,0.024186725656331,0.0146560293346417,0.0194057096044232,0.00996415476038765,301,4,-26.6067970180728,-553.349370810865,1470.25856307148,-533.718349694936
all,1000,10,3,0.001,0.3,2quadpf,0.303632199764252,0.909090936183929,0.305938541889191,0.909090936183929,0.987036400171495,241.604882069193,261.70377182736,242.470438252468,64.0863714956174,63.78780209699,64.72601792221,0.053156813757248,0.0476125935881621,0.0364201106005448,0.0298626842803697,301,4,-40.9831478487006,-603.382507129621,1455.88221224085,-583.751486013693
all,1000,10,3,0.001,0.3,3cubpf,0.303180515766144,0.909090936183929,0.30831515789032,0.909090936183929,0.983089556481357,241.792399125366,244.304356224384,245.185584051923,57.7264377321747,47.20744666168,58.7663708196819,0.0483288060874709,0.0353244707014234,0.0165256932182589,0.00953808723920489,301,4,26.9763942278719,-591.037673715082,1523.84175431742,-571.406652599153
all,1000,10,5,0.001,0.3,0constpf,0.302712053060532,0.909090936183929,0.307298421859741,0.909090936183929,1.01671472807237,406.435294040612,440.021615324963,405.862996669499,81.8747041968174,81.1753764125318,77.0968542413241,0.0853545273233647,0.108409535285626,0.0583579580465671,0.0804117375548933,341,13,-334.39398347499,-950.619996474859,1402.95138528469,-886.819177848091
all,1000,10,5,0.001,0.3,1linpf,0.300834655761719,0.909090936183929,0.309113949537277,0.909090936183929,0.996278496051687,415.374713410749,416.706341425371,439.364654072119,133.293628665588,114.907733693993,141.060904075666,0.180354932011467,0.161121821023844,0.126423390780697,0.107221559668722,341,13,-355.228150238727,-1071.33668415267,1382.11721852095,-1007.53586552591
all,1000,10,5,0.001,0.3,2quadpf,0.301912784576416,0.909090936183929,0.305819481611252,0.909090936183929,0.986788415380018,643.530133179268,650.075046520847,676.321308825604,149.724652503803,144.329571741193,165.626491434065,0.223119925052113,0.230429013261931,0.179391426582964,0.166003692613311,341,11,-884.80923652408,-1564.50957136614,842.720621677632,-1510.52426329734
all,1000,10,5,0.001,0.3,3cubpf,0.299811005592346,0.909090936183929,0.308799088001251,0.909090936183929,1.01219984695101,493.163700398687,546.299847232164,522.494810623041,152.722197412149,146.991957109362,162.218736568323,0.240390199537138,0.283897440368263,0.167406188797343,0.190820567715442,341,14,-676.583608683052,-1263.77179562167,1065.66951535561,-1195.06322171592
all,1000,10,3,0.001,0.6,0constpf,0.303715437650681,0.909090936183929,0.305462390184402,0.909090936183929,0.993821340507002,289.189459434777,288.93816499075,294.863875879788,68.9855600387471,65.6692608809035,67.012294789163,0.0283232340341494,0.0289624169403617,0.0165615700681558,0.0147047254820283,301,2,-103.214851743307,-712.350038947048,1383.83499778828,-702.534528389084
all,1000,10,3,0.001,0.6,1linpf,0.301994025707245,0.909090936183929,0.304462045431137,0.909090936183929,1.02648301640312,303.58811690402,350.140693972406,326.638418289447,59.922671674242,67.7302785327481,73.1397076674148,0.098921846809226,0.103899548237042,0.0905517214663415,0.0877556935253597,301,3,-227.741945010307,-721.021577156524,1264.21565980026,-706.298311319577
