noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
all,1000,10,3,0.001,0.3,0constpf,0.30348864197731,0.909090936183929,0.306555151939392,0.909090936183929,0.992300415752702,221.186494002667,232.10619860878,221.567777020106,58.7024352950104,55.0503404962213,58.6905803431296,0.0393547952244593,0.0331339405615914,0.0114907515716406,0.0098339099874674,301,3,33.6869217899978,-553.777858595354,1525.64452660057,-539.054592758408
all,1000,10,3,0.001,0.3,1linpf,0.303522080183029,0.909090936183929,0.306311309337616,0.909090936183929,0.99956952080782,204.526235690796,207.484327953121,205.297521790889,57.6901126194762,52.0770745986412,61.7649941180265,0.0293566861004243,0.0341869620809648,0.0225782666064843,0.0233236402147444,301,3,88.8771948964747,-518.432696620545,1580.83479970704,-503.709430783599
all,1000,10,3,0.001,0.3,2quadpf,0.303777307271957,0.909090936183929,0.304669201374054,0.909090936183929,1.02326587899303,272.035405778639,292.634500099947,275.348660427317,62.3903231413181,65.5765285706479,63.2566224830659,0.0618547304055125,0.0828795451020681,0.025607724143227,0.0509673403212885,301,5,-104.422057341189,-658.851457839914,1397.35105802734,-634.312681445003
all,1000,10,3,0.001,0.3,3cubpf,0.304183751344681,0.909090936183929,0.305957525968552,0.909090936183929,0.917336270912004,199.989812353292,146.544001846528,208.855888866098,50.82124797593,34.6026143664109,49.9252671607775,0.0472513052236417,0.0408691971891263,0.0257635166205109,0.0274022154747211,301,4,247.706767574122,-493.622120658444,1744.57212766367,-473.991099542515
all,1000,10,5,0.001,0.3,0constpf,0.301573574542999,0.909090936183929,0.308416754007339,0.909090936183929,0.975666716974613,482.674298407755,498.070577911635,484.829896858908,127.974340263316,113.2903355219,121.899224971701,0.126511493954872,0.144229769002402,0.0306897214730563,0.0259309038203167,341,10,-520.721826867069,-1201.29727734214,1201.90027605566,-1152.21972455232
all,1000,10,5,0.001,0.3,1linpf,0.297524273395538,0.909090936183929,0.310004055500031,0.909090936183929,0.965830105203757,500.707295537361,546.77464633221,534.847441082849,122.937104535281,105.321101183369,124.714688523436,0.145574835556605,0.19810840286144701,0.137320167314305,0.113301487102955,341,14,-594.191495031157,-1219.28880014528,1148.0616290075,-1150.58022623953
all,1000,10,5,0.001,0.3,2quadpf,0.302138686180115,0.909090936183929,0.309006124734879,0.909090936183929,0.999937215459998,541.670618858516,546.090263561961,595.078267341482,148.506626451092,134.136712796064,154.491626410092,0.177514763050513,0.181391654406581,0.143998108623032,0.139355595766276,341,10,-658.453952716051,-1360.35449061922,1064.16815020668,-1311.2769378294
all,1000,10,5,0.001,0.3,3cubpf,0.301203995943069,0.909090936183929,0.309628129005432,0.909090936183929,0.97809569224062,492.376949752249,498.044995203471,531.758899294642,131.767495701444,112.222395054724,140.081967138736,0.204266377571083,0.276991146096367,0.181088459382154,0.222033707225216,341,13,-512.534780516388,-1222.28889090739,1224.81058824329,-1158.48807228062
all,1000,10,3,0.001,0.6,0constpf,0.303846895694733,0.909090936183929,0.305501759052277,0.909090936183929,1.00866696711076,263.625112944766,279.08398900817,263.485011642558,48.6607256114419,48.9037809972842,49.5554400373303,0.0345502542838249,0.0342442530469746,0.0197494437073775,0.0164934797534035,301,4,-45.9755400109079,-616.571677112416,1450.88982007864,-596.940655996487
all,1000,10,3,0.001,0.6,1linpf,0.302727401256561,0.909090936183929,0.306787997484207,0.909090936183929,1.00500373044644,317.963052330533,333.324516403771,317.848975326481,86.7576732586841,84.3692081348065,84.8103535351025,0.0843427194202561,0.0749619168766447,0.0544845679120513,0.0477223513932628,301,64.5767432776114,-104.233962521933,-680.287964623212,1689.92722917186,-363.36111190304
